Time,X,Y,Yaw,Vx,Vy,R
1365262000000,0.0,0.0,0.0,-0.005320879076452265,-0.005262836371096452,-0.005679844930081485
1365272000000,0.0,0.0,0.0,-0.008547682763535543,-0.005709584671461535,0.0029563164278145694
1365277000000,0.0,0.0,0.0,0.0041066502609802815,0.004650350135523839,-0.0024779939478653495
1365282000000,0.0,0.0,0.0,-0.005344750263730907,-0.01205334586002616,0.00507854468008073
1365287000000,0.0,0.0,0.0,-0.00043619205349193545,0.010801569456046942,0.013314900649453476
1365292000000,0.0,0.0,0.0,0.0030804925879154093,0.0011828759781518535,0.007216257431759778
1365297000000,0.0,0.0,0.0,-0.004917923645133228,-0.014286132606948738,0.012429136370738754
1365302000000,0.0,0.0,0.0,-0.010471205498094452,0.008503973956097755,-0.0013812722450730684
1365307000000,0.0,0.0,0.0,0.0014171866933392243,-0.015641308029226475,0.0024441201094116786
1365312000000,0.0,0.0,0.0,-0.01668166470107323,0.004540062343864661,0.0068604663857845865
1365317000000,0.0,0.0,0.0,0.01054606658182023,-0.026226094949211888,-0.0031907348586230756
1365322000000,0.0,0.0,0.0,7.695025251743323e-05,0.014360491601883582,0.011539295447070321
1365327000000,0.0,0.0,0.0,0.012066538741396722,-0.007558089931661131,0.012294325589390327
1365332000000,0.0,0.0,0.0,0.009034098367641545,-0.003402732353519945,0.012903399544909589
1365337000000,0.0,0.0,0.0,-0.0043741637502365685,0.004554086859298738,0.010849773820924424
1365342000000,0.0,0.0,0.0,0.009419167959787344,-5.52591407933428e-05,-0.0033736484635588193
1365347000000,0.0,0.0,0.0,-0.015311706925351682,-0.01381381977113106,-0.000758907150032872
1365352000000,0.0,0.0,0.0,-0.014131079151867787,0.0182780826944595,0.008865933695951917
1365357000000,0.0,0.0,0.0,-0.009483706638862862,-0.0014713456202431773,-0.0032179428449337307
1365362000000,0.0,0.0,0.0,-0.008888962143533801,0.016086639215097037,-0.001772417686926504
1365367000000,0.0,0.0,0.0,0.012788337377519726,0.011030889282043752,-8.815350191263947e-05
1365372000000,0.0,0.0,0.0,-0.008809736545481056,-0.0012564644631287887,0.013699057496069889
1365377000000,0.0,0.0,0.0,0.007204826797051569,-0.01159634647065592,0.00516280290138756
1365382000000,0.0,0.0,0.0,0.003948707534350516,0.006781636875731846,0.008995231020210014
1365387000000,0.0,0.0,0.0,0.011597339951707739,-0.014218760654945132,-0.003838868096091418
1365392000000,0.0,0.0,0.0,0.005983078331963479,0.001664686491257823,-0.0060078088808750655
1365397000000,0.0,0.0,0.0,0.0023728922512895635,-0.0010084594731846488,-0.005181358693692529
1365402000000,0.0,0.0,0.0,-0.006520318723086436,0.008585904178673966,-0.0017994029713289707
1365407000000,0.0,0.0,0.0,-0.007776984124736254,-0.007613367588340453,-0.010193603326255019
1365412000000,0.0,0.0,0.0,-0.01048469728137201,3.527711694656013e-05,-0.001520570387031055
1365417000000,0.0,0.0,0.0,-0.0063645083657063875,-0.0021470695483086044,-0.003430096436885313
1365422000000,0.0,0.0,0.0,-0.017950395126847277,0.012286431758578112,0.006497281207866199
1365427000000,0.0,0.0,0.0,0.00017427347366481835,0.0078073284286800165,0.0191048300557125
1365432000000,0.0,0.0,0.0,0.018987829387931445,0.015783224457851783,0.01779624142221308
1365437000000,0.0,0.0,0.0,-0.0051927286954408305,0.012084041835747846,0.0018913425421872145
1365442000000,0.0,0.0,0.0,0.0029491724109366717,0.006516280259384169,0.004830603187698327
1365447000000,0.0,0.0,0.0,-0.014179390894141176,0.005921146697013323,-0.015356213300967508
1365452000000,0.0,0.0,0.0,0.007139953571532978,0.004593552022752263,0.007919806534370345
1365457000000,0.0,0.0,0.0,-0.0025499397170422418,0.010608877364254808,0.01227919838731855
1365462000000,0.0,0.0,0.0,-0.0108442979228857,0.004369349025147905,-0.005668168777427196
1365462000000,0.0,0.0,0.0,-0.00655294753982717,-0.0005147448551426968,-4.162178157775226e-05
1365472000000,0.0,0.0,0.0,0.021774545944209432,0.010039112014999772,-0.000595835420650341
1365477000000,0.0,0.0,0.0,-0.0010728822607592857,0.0072246764069751656,0.005428517872826837
1365482000000,0.0,0.0,0.0,0.003269390461262696,-0.00777374663894895,0.002193290643336617
1365487000000,0.0,0.0,0.0,-0.014607596317212843,0.011952789816304613,0.008213708120014379
1365492000000,0.0,0.0,0.0,0.010674792607796042,-0.013692240634329528,0.0037975992212170985
1365497000000,0.0,0.0,0.0,-0.0033842020042938827,-0.0212773944569225,0.0017705267680931858
1365502000000,0.0,0.0,0.0,0.008415682871483159,0.012144153262956458,0.011116537561390473
1365507000000,0.0,0.0,0.0,0.009419158655932416,0.0024490703514917908,4.410582746293888e-05
1365512000000,0.0,0.0,0.0,-0.004755248850847932,0.006860157593317544,0.011083925577366241
1365517000000,0.0,0.0,0.0,-0.007545356098705876,0.0052235315626126535,0.006943903963948477
1365522000000,0.0,0.0,0.0,-0.00024214551936309317,-0.008486887801969272,-0.0026985330230074197
1365527000000,0.0,0.0,0.0,-0.013661067087858934,-0.00020103018697662937,0.011731447804141546
1365527000000,0.0,0.0,0.0,-0.0031436998503619764,-0.008981126418450305,-0.004292497642735669
1365537000000,0.0,0.0,0.0,9.98773630138446e-05,0.001190187344126568,0.013141213901300092
1365542000000,0.0,0.0,0.0,0.0005308625666247579,-0.0018480234048870998,-3.153773667999254e-05
1365547000000,0.0,0.0,0.0,0.026976884259551158,0.0022798323955324214,-0.005269992081369136
1365552000000,9.318840678480125e-05,0.0,0.0,0.03361907106534864,-0.011914527278620293,0.00555705122304781
