Time,X,Y,Yaw,Vx,Vy,R
1356242000000,0.0,0.0,0.0,0.00594254595171576,-0.013512953489260793,0.017920672008378706
1356247000000,0.0,0.0,0.0,0.006801369031204362,-0.013223342127662876,-0.014491860066445341
1356252000000,0.0,0.0,0.0,-0.007747673742761863,0.00961266716952584,-0.0017239220852499676
1356257000000,0.0,0.0,0.0,0.03164031052395332,0.013665707840551685,-0.003918897011528578
1356262000000,0.0,0.0,0.0,0.010449201677028334,-0.007426901787900731,-0.00809562154956496
1356267000000,0.0,0.0,0.0,-0.01960436592136491,-0.0030616667021071565,0.014702159167549377
1356272000000,0.0,0.0,0.0,-0.007528996498009235,0.004190871263447331,0.0015668485478216128
1356277000000,0.0,0.0,0.0,0.008949546642317504,0.015844742181793745,-0.004238604194641683
1356282000000,0.0,0.0,0.0,0.004023314301501481,0.008093149154119707,-0.0330658078678431
1356287000000,0.0,0.0,0.0,-0.01182323419954472,0.0082605364226004,0.024035243339798697
1356292000000,0.0,0.0,0.0,0.009098396086217856,0.004099967154801922,-0.008818647631662808
1356297000000,0.0,0.0,0.0,-0.00841377024664204,-0.013011252157547632,-0.0001049060702982918
1356302000000,0.0,0.0,0.0,0.007250452520325125,0.002070016586835413,-0.010995852763849552
1356307000000,0.0,0.0,0.0,-0.009015517467406677,-0.00047159948518544283,-0.008410597884503128
1356312000000,0.0,0.0,0.0,-0.011056656437466877,0.0026677394040527393,-0.0036571238320683044
1356317000000,0.0,0.0,0.0,0.0031998114042134456,-0.015629383673798018,0.009583223362331274
1356322000000,0.0,0.0,0.0,-0.004590790025778657,-0.01014563161050547,-0.015008291244323036
1356327000000,0.0,0.0,0.0,-0.006432506467833268,0.010997293750019375,0.006231925254789566
1356332000000,0.0,0.0,0.0,-0.0040851244444199295,0.0008826217409509736,-0.0015954248277069913
1356337000000,0.0,0.0,0.0,-0.0016894829818087484,-0.0021958241848929637,0.007844425336442614
1356342000000,0.0,0.0,0.0,-0.014168423546995103,0.009416515417402028,0.014345073066079725
1356347000000,0.0,0.0,0.0,-0.013887262743326516,-0.007107226992187752,0.01461315383602913
1356352000000,0.0,0.0,0.0,0.01422728195011841,-0.0011666919424445,0.0070495172661681465
1356357000000,0.0,0.0,0.0,-0.0013034502905184052,-0.0010938789332523287,-0.016200319285125178
1356362000000,0.0,0.0,0.0,-0.0033771886708380363,-0.026443241458014743,-0.007681414166931073
1356367000000,0.0,0.0,0.0,0.0031596473385721046,-0.005832027439523905,0.002494393042561791
1356372000000,0.0,0.0,0.0,0.011767706516846688,-0.0028307136666728258,0.004301439133453184
1356377000000,0.0,0.0,0.0,-0.017172268901293034,0.010975211858875377,0.024869738809079226
1356382000000,0.0,0.0,0.0,-0.00427032520466112,-0.001388980070733434,-0.008167608527474024
1356387000000,0.0,0.0,0.0,-0.0033536539534453954,0.00788167580170472,-0.010318674465290046
1356392000000,0.0,0.0,0.0,-0.004537148707919073,-0.004273751923054745,-0.013280292701470811
1356397000000,0.0,0.0,0.0,-0.01337328939859092,-0.014620936177972164,0.002915647830794798
1356402000000,0.0,0.0,0.0,0.0021669763502639777,0.02302338763711116,-0.013313515412306744
1356407000000,0.0,0.0,0.0,-0.014800387399495216,0.026677972384175054,-0.01678295887244294
1356412000000,0.0,0.0,0.0,0.005554772349165431,-0.009933813778415033,0.007864216157562616
1356417000000,0.0,0.0,0.0,0.005622636933091999,-0.0008061785920662151,0.010691303629469254
1356422000000,0.0,0.0,0.0,0.0001790806298673357,-0.006481829452900893,0.016295863552173766
1356427000000,0.0,0.0,0.0,-0.008567850322870276,-0.0120338776405796,-0.004072235139162737
1356432000000,0.0,0.0,0.0,0.003963830348760832,0.004546133292370741,-0.011106054994542322
1356437000000,0.0,0.0,0.0,0.002127911343255192,0.010551052484974295,-0.0036189630297099114
1356442000000,0.0,0.0,0.0,-0.0018197454036910229,-0.0009739631272733804,0.0015653998127106636
1356447000000,0.0,0.0,0.0,0.01114103399380963,-0.012625520067695397,0.007991710782989048
1356452000000,0.0,0.0,0.0,0.0027700946186236066,-0.008616609612887096,0.001303755706674958
1356457000000,0.0,0.0,0.0,0.0017758394909644752,0.0018827335309348334,0.0047048397991899535
1356462000000,0.0,0.0,0.0,-0.012603724305945863,0.012661012084754675,-0.015865451743820324
1356467000000,0.0,0.0,0.0,0.008099212732959245,-0.001413606837794602,-0.006070469163979325
1356472000000,0.0,0.0,0.0,-0.004582008183863822,-0.005079482544018255,-0.009870899564631434
1356477000000,0.0,0.0,0.0,0.010823489505170229,-0.01231521604131601,-0.011872830894307242
1356482000000,0.0,0.0,0.0,0.011045057343617519,0.00671360401636256,0.016182191059805496
1356487000000,0.0,0.0,0.0,-0.015266379270744724,-0.0030421279545279597,0.003769737501495651
1356492000000,0.0,0.0,0.0,-0.01247353963394638,-0.005481064279884836,0.006882265957317081
1356497000000,0.0,0.0,0.0,-0.0028002450237207886,-0.0025750651851715162,0.002829751134651053
1356502000000,0.0,0.0,0.0,-0.00456941351370682,0.009863569217325216,0.012200595910997314
1356507000000,0.0,0.0,0.0,-0.013854379127488207,-0.008077476737342276,-0.00012198200107420046
1356512000000,0.0,0.0,0.0,-0.01144377371485343,-0.012311953486792244,0.006416256229093496
